                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                 1.2233,                0.81773,                 1.2038,                0.55294,                0.55863,                0.52558,                0.30159,                 1.5441,                0.99982,                 1.5028,              0.0082052,              0.0082052,              0.0082052
                    142,                 1.1948,                0.81093,                  1.196,                0.75078,                0.49325,                  0.499,                0.28791,                 1.5209,                 1.0302,                 1.5064,              0.0081812,              0.0081812,              0.0081812
                    143,                 1.1853,                0.79276,                 1.1763,                 0.6238,                0.49239,                0.48966,                0.28713,                  1.509,                 1.0798,                 1.4903,              0.0081571,              0.0081571,              0.0081571
                    144,                 1.1945,                0.79597,                 1.1825,                0.75568,                0.48355,                 0.5117,                0.31901,                 1.5086,                 1.0467,                 1.4776,              0.0081328,              0.0081328,              0.0081328
                    145,                 1.1961,                0.80222,                 1.1826,                0.50488,                0.50908,                0.48877,                0.30692,                 1.5107,                 1.0619,                 1.4773,              0.0081084,              0.0081084,              0.0081084
                    146,                 1.1938,                0.79156,                 1.1871,                0.58893,                0.48094,                0.50709,                0.31996,                 1.5201,                0.98884,                 1.4814,              0.0080839,              0.0080839,              0.0080839
                    147,                   1.21,                 0.8166,                 1.1914,                0.51071,                0.52648,                0.50401,                0.29972,                 1.5258,                0.99834,                 1.4983,              0.0080593,              0.0080593,              0.0080593
                    148,                   1.22,                0.80835,                 1.1895,                0.71729,                0.51185,                 0.5002,                0.30515,                 1.5014,                 1.0034,                 1.4862,              0.0080345,              0.0080345,              0.0080345
                    149,                 1.1905,                0.78672,                 1.1764,                0.53738,                 0.4845,                 0.4855,                0.29477,                 1.5214,                 1.0373,                 1.4942,              0.0080096,              0.0080096,              0.0080096
                    150,                 1.2134,                0.80061,                 1.1941,                0.68071,                0.53384,                0.51391,                0.31275,                 1.5165,                 1.0675,                 1.4918,              0.0079846,              0.0079846,              0.0079846
                    151,                  1.194,                 0.7876,                 1.1889,                0.51338,                0.52971,                0.52733,                0.32509,                 1.4887,                0.99785,                 1.4673,              0.0079595,              0.0079595,              0.0079595
                    152,                 1.1788,                0.78174,                 1.1778,                 0.5781,                0.47637,                0.50343,                0.31653,                 1.5032,                 1.0576,                 1.4949,              0.0079343,              0.0079343,              0.0079343
                    153,                  1.184,                0.79664,                 1.1808,                0.57835,                0.54892,                0.55718,                0.32256,                 1.5111,                 1.0323,                 1.4768,               0.007909,               0.007909,               0.007909
                    154,                 1.1825,                0.79443,                 1.1842,                0.57845,                0.45622,                0.49976,                0.30231,                 1.5049,                 1.0537,                 1.4837,              0.0078835,              0.0078835,              0.0078835
                    155,                 1.1787,                0.80619,                 1.1812,                 0.8083,                0.47097,                0.55953,                0.33945,                 1.5153,                0.98695,                 1.4893,               0.007858,               0.007858,               0.007858
                    156,                 1.1858,                0.79426,                  1.192,                0.80293,                0.48665,                 0.5269,                 0.3255,                  1.506,                 1.0175,                 1.4879,              0.0078323,              0.0078323,              0.0078323
                    157,                 1.1758,                0.78589,                   1.17,                0.49285,                0.51923,                0.49746,                0.29985,                 1.5064,                 1.0114,                 1.4807,              0.0078065,              0.0078065,              0.0078065
                    158,                 1.1992,                 0.7929,                 1.1893,                0.73876,                 0.4973,                0.50919,                0.29695,                 1.5284,                 1.0503,                 1.5091,              0.0077806,              0.0077806,              0.0077806
                    159,                 1.1685,                 0.7913,                 1.1805,                0.54777,                0.54263,                0.50339,                0.31027,                 1.5133,                 1.0295,                 1.4825,              0.0077547,              0.0077547,              0.0077547
                    160,                 1.1854,                0.80557,                 1.1892,                0.72277,                0.48175,                 0.4834,                0.30188,                 1.5132,                  1.028,                 1.5096,              0.0077286,              0.0077286,              0.0077286
                    161,                 1.1857,                0.78941,                 1.1801,                0.47673,                0.49121,                0.49799,                0.29991,                 1.5087,                 1.0725,                 1.4893,              0.0077023,              0.0077023,              0.0077023
                    162,                 1.1714,                0.79156,                 1.1744,                0.52821,                0.51112,                0.52294,                0.31586,                 1.4943,                 1.0111,                 1.4873,               0.007676,               0.007676,               0.007676
                    163,                 1.1777,                0.77926,                 1.1776,                0.42727,                0.50667,                 0.4777,                0.28825,                 1.5179,                 1.0534,                 1.5048,              0.0076496,              0.0076496,              0.0076496
                    164,                 1.1991,                0.80284,                 1.1971,                0.64232,                0.48129,                0.50921,                0.30414,                  1.505,                 1.0267,                 1.4918,              0.0076231,              0.0076231,              0.0076231
                    165,                 1.1905,                0.79408,                 1.1843,                0.57161,                  0.485,                0.50477,                0.31079,                 1.5128,                 1.0297,                 1.4885,              0.0075965,              0.0075965,              0.0075965
                    166,                 1.1688,                0.78424,                 1.1764,                0.43073,                0.55314,                0.50445,                0.30865,                 1.5147,                 1.0285,                 1.5021,              0.0075698,              0.0075698,              0.0075698
                    167,                 1.1717,                0.77481,                 1.1737,                0.47439,                0.55475,                0.48781,                0.30239,                 1.5261,                 1.0506,                 1.4928,              0.0075429,              0.0075429,              0.0075429
                    168,                 1.1691,                0.78593,                  1.175,                0.56894,                0.45111,                0.48384,                0.29822,                 1.5093,                 1.0142,                 1.4952,               0.007516,               0.007516,               0.007516
                    169,                 1.1764,                0.77073,                 1.1732,                0.50996,                0.53303,                0.51845,                0.32812,                 1.5044,                 1.0273,                 1.4909,               0.007489,               0.007489,               0.007489
                    170,                 1.1657,                  0.772,                 1.1619,                0.58919,                0.49513,                0.52195,                0.31507,                 1.5203,                 1.0222,                 1.4974,              0.0074619,              0.0074619,              0.0074619
                    171,                  1.151,                0.75471,                 1.1628,                0.79761,                0.46592,                 0.4922,                0.31056,                 1.5233,                 1.0358,                 1.5053,              0.0074347,              0.0074347,              0.0074347
                    172,                 1.1473,                0.76866,                 1.1627,                0.76372,                0.46235,                0.50603,                0.30578,                 1.5186,                 1.0594,                 1.5037,              0.0074074,              0.0074074,              0.0074074
                    173,                 1.1674,                0.77508,                  1.163,                0.51573,                 0.5322,                0.51092,                0.30911,                 1.5158,                 1.0232,                 1.4911,                0.00738,                0.00738,                0.00738
                    174,                  1.154,                0.77642,                   1.17,                0.57687,                0.47547,                0.50767,                0.31605,                 1.4876,                 1.0099,                 1.4852,              0.0073525,              0.0073525,              0.0073525
                    175,                 1.1527,                0.78542,                 1.1748,                 0.5677,                0.47766,                0.50515,                0.31475,                 1.5173,                 1.0121,                  1.484,              0.0073249,              0.0073249,              0.0073249
                    176,                 1.1607,                0.78051,                 1.1664,                0.76905,                0.51207,                0.53219,                0.32723,                 1.5056,                 1.0295,                  1.492,              0.0072973,              0.0072973,              0.0072973
                    177,                 1.1815,                0.78809,                 1.1797,                0.71083,                0.55318,                0.52636,                0.32566,                 1.5138,                 1.0401,                  1.508,              0.0072695,              0.0072695,              0.0072695
                    178,                 1.1514,                0.76576,                 1.1627,                0.52945,                0.54511,                0.52543,                0.32952,                 1.5002,                 1.0159,                 1.4883,              0.0072417,              0.0072417,              0.0072417
                    179,                 1.1516,                0.76649,                 1.1657,                0.68915,                0.47821,                0.49881,                0.31062,                 1.5128,                 1.0243,                 1.5057,              0.0072137,              0.0072137,              0.0072137
                    180,                 1.1496,                0.75799,                 1.1557,                0.47307,                0.57063,                0.51159,                0.32703,                 1.5117,                 1.0778,                 1.5046,              0.0071857,              0.0071857,              0.0071857
                    181,                 1.1614,                0.77403,                 1.1684,                0.48299,                0.51037,                 0.5019,                 0.3199,                 1.4869,                 1.0193,                  1.467,              0.0071576,              0.0071576,              0.0071576
                    182,                 1.1571,                0.76665,                 1.1613,                 0.5653,                0.48201,                0.49483,                0.30691,                 1.5079,                 1.0564,                 1.4948,              0.0071294,              0.0071294,              0.0071294
                    183,                 1.1326,                0.75658,                 1.1493,                0.57127,                0.47257,                0.46941,                0.29325,                 1.4827,                 1.0626,                 1.4958,              0.0071012,              0.0071012,              0.0071012
                    184,                 1.1284,                0.76096,                 1.1572,                0.76494,                0.44054,                0.49459,                 0.3113,                 1.4994,                 1.0233,                 1.4826,              0.0070728,              0.0070728,              0.0070728
                    185,                 1.1487,                0.76863,                   1.16,                0.47597,                0.54851,                 0.5202,                0.31854,                 1.5009,                 0.9947,                  1.486,              0.0070444,              0.0070444,              0.0070444
