                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4222,                 1.0229,                 1.3118,                0.46289,                0.41463,                0.43026,                0.25034,                 1.5913,                 1.1159,                 1.5089,               0.009894,               0.009894,               0.009894
                     35,                 1.3922,                0.99948,                 1.3058,                 0.6132,                0.50301,                0.43314,                0.24912,                 1.5537,                 1.0571,                 1.4682,              0.0098875,              0.0098875,              0.0098875
                     36,                 1.3943,                0.99661,                 1.2952,                 0.6687,                 0.4221,                0.42815,                0.26016,                 1.5841,                 1.0978,                   1.51,              0.0098808,              0.0098808,              0.0098808
                     37,                 1.4003,                0.98906,                 1.2992,                0.41383,                0.41877,                0.40457,                0.23363,                 1.5644,                 1.1339,                 1.5201,              0.0098739,              0.0098739,              0.0098739
                     38,                 1.4123,                 1.0302,                  1.325,                 0.5981,                0.39457,                0.38828,                0.22313,                 1.5983,                 1.2103,                 1.5309,              0.0098668,              0.0098668,              0.0098668
                     39,                 1.4038,                 1.0108,                 1.3068,                0.59598,                0.39058,                0.42495,                0.25328,                 1.5637,                 1.1058,                 1.4698,              0.0098596,              0.0098596,              0.0098596
                     40,                 1.3666,                0.97692,                   1.29,                0.64263,                0.47149,                0.44831,                0.26658,                 1.5518,                 1.0774,                 1.4562,              0.0098521,              0.0098521,              0.0098521
                     41,                 1.3917,                0.98716,                  1.303,                0.71598,                0.40265,                0.41918,                0.24243,                 1.6119,                 1.1095,                 1.5266,              0.0098445,              0.0098445,              0.0098445
                     42,                 1.3987,                0.98276,                 1.3021,                0.66181,                0.48135,                0.46993,                0.25869,                 1.5654,                 1.0573,                 1.5129,              0.0098367,              0.0098367,              0.0098367
                     43,                 1.3808,                0.98986,                 1.3006,                0.57958,                0.51773,                0.41242,                0.23381,                 1.6005,                 1.1337,                 1.5397,              0.0098286,              0.0098286,              0.0098286
                     44,                 1.3661,                0.97921,                 1.2855,                0.58705,                  0.437,                0.39197,                0.22905,                 1.5972,                 1.1569,                 1.5314,              0.0098204,              0.0098204,              0.0098204
                     45,                  1.361,                0.96952,                 1.2862,                0.79259,                0.35967,                0.41665,                0.23981,                 1.5707,                 1.0958,                 1.4711,               0.009812,               0.009812,               0.009812
                     46,                 1.3766,                0.97557,                 1.2902,                0.66771,                0.42706,                0.43893,                0.26019,                 1.5473,                 1.0649,                 1.4796,              0.0098035,              0.0098035,              0.0098035
                     47,                 1.3633,                0.96559,                 1.2783,                0.72554,                0.45908,                0.47639,                0.26268,                 1.5801,                 1.1118,                 1.4899,              0.0097947,              0.0097947,              0.0097947
                     48,                 1.3708,                0.97024,                 1.2897,                0.69187,                0.47468,                0.43482,                0.24822,                 1.5613,                 1.0955,                 1.5011,              0.0097857,              0.0097857,              0.0097857
                     49,                 1.3649,                0.96029,                   1.28,                0.75275,                0.43099,                0.42798,                  0.223,                 1.6014,                 1.1327,                 1.5465,              0.0097766,              0.0097766,              0.0097766
